ОбразовательнаяПрограмма,ГруппаВакансий,КлючевоеТребование,КраткоеОписание,Дисциплина,Аннотация
Математические методы в информационных технологиях,Технический писатель,Техническая документация,Навыки написания технической документации,/Не выявлено/,
Математические методы в информационных технологиях,Технический писатель,Microsoft Office,"Офисный пакет приложений, в состав которого входит программное обеспечение для работы с различными типами документов: текстами, электронными таблицами, базами данных и др. ",Современные технологии в образовании,Практическая подготовка в области использования существующих инструментальных и моделирующих программ для представления результатов научно-исследовательской деятельности.
Математические методы в информационных технологиях,Технический писатель,Microsoft Office,"Офисный пакет приложений, в состав которого входит программное обеспечение для работы с различными типами документов: текстами, электронными таблицами, базами данных и др. ",Интеллектуальные технологии и компьютерные инструменты передачи и извлечения знаний,
Математические методы в информационных технологиях,Технический писатель,ЕСКД,"Единая система конструкторской документации --- комплекс межгосударственных стандартов, устанавливающих взаимосвязанные правила, требования и нормы по разработке, оформлению и обращению конструкторской документации, создаваемой и применяемой на всех стадиях жизненного цикла изделия (при проектировании, разработке, изготовлении, контроле, приёмке, эксплуатации, ремонте, утилизации)",/Не выявлено/,
Математические методы в информационных технологиях,Технический писатель,ЕСПД (ГОСТ 19),"Единая система программной документации --- система государственных стандартов РФ, устанавливающих взаимосвязанные правила разработки, оформления и обращения программ и программной документации",/Не выявлено/,
Математические методы в информационных технологиях,Технический писатель,Техническая документация,Навыки написания технической документации,/Не выявлено/,
Математические методы в информационных технологиях,Технический писатель,Microsoft Office,"Офисный пакет приложений, в состав которого входит программное обеспечение для работы с различными типами документов: текстами, электронными таблицами, базами данных и др. ",Современные технологии в образовании,Практическая подготовка в области использования существующих инструментальных и моделирующих программ для представления результатов научно-исследовательской деятельности.
Математические методы в информационных технологиях,Технический писатель,Microsoft Office,"Офисный пакет приложений, в состав которого входит программное обеспечение для работы с различными типами документов: текстами, электронными таблицами, базами данных и др. ",Интеллектуальные технологии и компьютерные инструменты передачи и извлечения знаний,
Математические методы в информационных технологиях,Технический писатель,ЕСКД,"Единая система конструкторской документации --- комплекс межгосударственных стандартов, устанавливающих взаимосвязанные правила, требования и нормы по разработке, оформлению и обращению конструкторской документации, создаваемой и применяемой на всех стадиях жизненного цикла изделия (при проектировании, разработке, изготовлении, контроле, приёмке, эксплуатации, ремонте, утилизации)",/Не выявлено/,
Математические методы в информационных технологиях,Технический писатель,ЕСПД (ГОСТ 19),"Единая система программной документации --- система государственных стандартов РФ, устанавливающих взаимосвязанные правила разработки, оформления и обращения программ и программной документации",/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,Знание средств защиты информации,"Знание современных методов шифрования, средств аутентификации, механизмов контроля доступа, программного и аппаратного обеспечения для обнаружения и предотвращения вторжений, систем мониторинга и анализа событий безопасности, а также знание способов защиты от вирусов, вредоносного программного обеспечения и других угроз информационной безопасности.",Криптография и защита информации,"Дисциплина служит для приобретения знаний, умений и навыков в области математических методов защиты информации. В рамках дисциплины изучаются основные понятия и методы теории чисел с их приложениями в современной криптографии."
Математические методы в информационных технологиях,Специалист по информационной безопасности,Знание средств защиты информации,"Знание современных методов шифрования, средств аутентификации, механизмов контроля доступа, программного и аппаратного обеспечения для обнаружения и предотвращения вторжений, систем мониторинга и анализа событий безопасности, а также знание способов защиты от вирусов, вредоносного программного обеспечения и других угроз информационной безопасности.",Основы информационной безопасности,"Рассматриваются основы обеспечения информационной безопасности и защиты информации, свойства информации как объекта защиты, некоторые аспекты криптографии, вырабатывается представление о значимости проблемы обеспечения информационной безопасности."
Математические методы в информационных технологиях,Специалист по информационной безопасности,Linux (администрирование),Администрирование в операционной системе Linux,Операционные системы,"В дисциплине изучаются типы, классификации и архитектуры операционных систем (ОС), принципы построения и основные парадигмы ОС, приобретаются знания основ функционирования и навыки использования ОС. Рассматриваются основы управления процессами/потоками и их взаимодействием, организация памяти, управление устройствами и данными."
Математические методы в информационных технологиях,Специалист по информационной безопасности,Знание законодательной и нормативной базы в области обеспечения информационной безопасности,"Знание законодательной и нормативной базы в области обеспечения информационной безопасности: в области защиты критической информационной инфраструктуры, в области обработки и защиты персональных данных, приказы ФСТЭК по техническому и экспортному контролю, комплекс стандартов на автоматизированные системы и другие",/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,Знание уязвимостей программного обеспечения,"Знание об уязвимостях в коде программ, слабых местах в архитектуре программного обеспечения, а также понимание того, какие действия и атаки могут использоваться для эксплуатации этих уязвимостей и получения несанкционированного доступа к информации или системам.",/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,Основы сетевых технологий (в т.ч. сетей передачи данных),"Знания, связанные с различными аспектами сетевых технологий и протоколов",/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,Администрирование Windows,Администрирование в операционной системе Windows,Операционные системы,"В дисциплине изучаются типы, классификации и архитектуры операционных систем (ОС), принципы построения и основные парадигмы ОС, приобретаются знания основ функционирования и навыки использования ОС. Рассматриваются основы управления процессами/потоками и их взаимодействием, организация памяти, управление устройствами и данными."
Математические методы в информационных технологиях,Специалист по информационной безопасности,Внедрение/ построение систем информационной безопасности,"Компетенции в разработке, внедрении и управлении системами информационной безопасности (ИБ)",/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,SIEM-системы (в т.ч. Ankey или MaxPatrol),Система сбора и управления информацией о событиях безопасности,/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,Знание средств защиты информации,"Знание современных методов шифрования, средств аутентификации, механизмов контроля доступа, программного и аппаратного обеспечения для обнаружения и предотвращения вторжений, систем мониторинга и анализа событий безопасности, а также знание способов защиты от вирусов, вредоносного программного обеспечения и других угроз информационной безопасности.",Криптография и защита информации,"Дисциплина служит для приобретения знаний, умений и навыков в области математических методов защиты информации. В рамках дисциплины изучаются основные понятия и методы теории чисел с их приложениями в современной криптографии."
Математические методы в информационных технологиях,Специалист по информационной безопасности,Знание средств защиты информации,"Знание современных методов шифрования, средств аутентификации, механизмов контроля доступа, программного и аппаратного обеспечения для обнаружения и предотвращения вторжений, систем мониторинга и анализа событий безопасности, а также знание способов защиты от вирусов, вредоносного программного обеспечения и других угроз информационной безопасности.",Основы информационной безопасности,"Рассматриваются основы обеспечения информационной безопасности и защиты информации, свойства информации как объекта защиты, некоторые аспекты криптографии, вырабатывается представление о значимости проблемы обеспечения информационной безопасности."
Математические методы в информационных технологиях,Специалист по информационной безопасности,Linux (администрирование),Администрирование в операционной системе Linux,Операционные системы,"В дисциплине изучаются типы, классификации и архитектуры операционных систем (ОС), принципы построения и основные парадигмы ОС, приобретаются знания основ функционирования и навыки использования ОС. Рассматриваются основы управления процессами/потоками и их взаимодействием, организация памяти, управление устройствами и данными."
Математические методы в информационных технологиях,Специалист по информационной безопасности,Знание законодательной и нормативной базы в области обеспечения информационной безопасности,"Знание законодательной и нормативной базы в области обеспечения информационной безопасности: в области защиты критической информационной инфраструктуры, в области обработки и защиты персональных данных, приказы ФСТЭК по техническому и экспортному контролю, комплекс стандартов на автоматизированные системы и другие",/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,Знание уязвимостей программного обеспечения,"Знание об уязвимостях в коде программ, слабых местах в архитектуре программного обеспечения, а также понимание того, какие действия и атаки могут использоваться для эксплуатации этих уязвимостей и получения несанкционированного доступа к информации или системам.",/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,Основы сетевых технологий (в т.ч. сетей передачи данных),"Знания, связанные с различными аспектами сетевых технологий и протоколов",/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,Администрирование Windows,Администрирование в операционной системе Windows,Операционные системы,"В дисциплине изучаются типы, классификации и архитектуры операционных систем (ОС), принципы построения и основные парадигмы ОС, приобретаются знания основ функционирования и навыки использования ОС. Рассматриваются основы управления процессами/потоками и их взаимодействием, организация памяти, управление устройствами и данными."
Математические методы в информационных технологиях,Специалист по информационной безопасности,Внедрение/ построение систем информационной безопасности,"Компетенции в разработке, внедрении и управлении системами информационной безопасности (ИБ)",/Не выявлено/,
Математические методы в информационных технологиях,Специалист по информационной безопасности,SIEM-системы (в т.ч. Ankey или MaxPatrol),Система сбора и управления информацией о событиях безопасности,/Не выявлено/,
Математические методы в информационных технологиях,Системный администратор,Знание Windows Server,"Навык работы с Windows Server - специализированной версией операционной системы Windows, предназначенной для управления сетями, серверами и хранения данных.",/Не выявлено/,
Математические методы в информационных технологиях,Системный администратор,Linux,Знание операционной системы Linux на уровне пользователя.,Операционные системы,"В дисциплине изучаются типы, классификации и архитектуры операционных систем (ОС), принципы построения и основные парадигмы ОС, приобретаются знания основ функционирования и навыки использования ОС."
Математические методы в информационных технологиях,Системный администратор,Администрирование серверов Windows,"Управление и поддержка серверов с операционной системой Windows, включая установку, настройку, обновление и мониторинг серверов, а также управление пользователями, ролями и разрешениями.",/Не выявлено/,
Математические методы в информационных технологиях,Системный администратор,Настройка ПК,"Навыки установки операционных систем, настройки сетевых соединений, установки и настройки программного обеспечения, управления правами доступа и безопасностью, а также решение возникающих проблем с компьютерами и программами.",Информатика,"Рассматриваются основные этапы развития вычислительной техники и её компонентов, как устроена работа современной вычислительной системы. В курсе изучаются разновидности архитектур вычислительных систем."
Математические методы в информационных технологиях,Системный администратор,Настройка ПК,"Навыки установки операционных систем, настройки сетевых соединений, установки и настройки программного обеспечения, управления правами доступа и безопасностью, а также решение возникающих проблем с компьютерами и программами.",Организация ЭВМ и систем,"Дисциплина посвящена изучению основных типов архитектур, принципов организации и взаимодействия аппаратных и программных средств вычислительных машин, а также методов управления процессами сбора, хранения, передачи и обработки данных различной формы представления."
Математические методы в информационных технологиях,Системный администратор,Настройка ПК,"Навыки установки операционных систем, настройки сетевых соединений, установки и настройки программного обеспечения, управления правами доступа и безопасностью, а также решение возникающих проблем с компьютерами и программами.",Операционные системы,Приобретаются знания основ функционирования и навыки использования операционных систем.
Математические методы в информационных технологиях,Системный администратор,Настройка ПК,"Навыки установки операционных систем, настройки сетевых соединений, установки и настройки программного обеспечения, управления правами доступа и безопасностью, а также решение возникающих проблем с компьютерами и программами.",Основы информационной безопасности,"Изучаются основы обеспечения информационной безопасности и защиты информации, свойства информации как объекта защиты, некоторые аспекты криптографии."
Математические методы в информационных технологиях,Системный администратор,Знание систем виртуализации,"Знание различных систем виртуализации, таких как VMware, Hyper-V, KVM и т. д. Виртуализация позволяет создавать и управлять виртуальными машинами на одном физическом сервере, что помогает оптимизировать использование ресурсов, повысить надежность и гибкость инфраструктуры.",/Не выявлено/,
Математические методы в информационных технологиях,Системный администратор,Знание Windows Server,"Навык работы с Windows Server - специализированной версией операционной системы Windows, предназначенной для управления сетями, серверами и хранения данных.",/Не выявлено/,
Математические методы в информационных технологиях,Системный администратор,Linux,Знание операционной системы Linux на уровне пользователя.,Операционные системы,"В дисциплине изучаются типы, классификации и архитектуры операционных систем (ОС), принципы построения и основные парадигмы ОС, приобретаются знания основ функционирования и навыки использования ОС."
Математические методы в информационных технологиях,Системный администратор,Администрирование серверов Windows,"Управление и поддержка серверов с операционной системой Windows, включая установку, настройку, обновление и мониторинг серверов, а также управление пользователями, ролями и разрешениями.",/Не выявлено/,
Математические методы в информационных технологиях,Системный администратор,Настройка ПК,"Навыки установки операционных систем, настройки сетевых соединений, установки и настройки программного обеспечения, управления правами доступа и безопасностью, а также решение возникающих проблем с компьютерами и программами.",Информатика,"Рассматриваются основные этапы развития вычислительной техники и её компонентов, как устроена работа современной вычислительной системы. В курсе изучаются разновидности архитектур вычислительных систем."
Математические методы в информационных технологиях,Системный администратор,Настройка ПК,"Навыки установки операционных систем, настройки сетевых соединений, установки и настройки программного обеспечения, управления правами доступа и безопасностью, а также решение возникающих проблем с компьютерами и программами.",Организация ЭВМ и систем,"Дисциплина посвящена изучению основных типов архитектур, принципов организации и взаимодействия аппаратных и программных средств вычислительных машин, а также методов управления процессами сбора, хранения, передачи и обработки данных различной формы представления."
Математические методы в информационных технологиях,Системный администратор,Настройка ПК,"Навыки установки операционных систем, настройки сетевых соединений, установки и настройки программного обеспечения, управления правами доступа и безопасностью, а также решение возникающих проблем с компьютерами и программами.",Операционные системы,Приобретаются знания основ функционирования и навыки использования операционных систем.
Математические методы в информационных технологиях,Системный администратор,Настройка ПК,"Навыки установки операционных систем, настройки сетевых соединений, установки и настройки программного обеспечения, управления правами доступа и безопасностью, а также решение возникающих проблем с компьютерами и программами.",Основы информационной безопасности,"Изучаются основы обеспечения информационной безопасности и защиты информации, свойства информации как объекта защиты, некоторые аспекты криптографии."
Математические методы в информационных технологиях,Системный администратор,Знание систем виртуализации,"Знание различных систем виртуализации, таких как VMware, Hyper-V, KVM и т. д. Виртуализация позволяет создавать и управлять виртуальными машинами на одном физическом сервере, что помогает оптимизировать использование ресурсов, повысить надежность и гибкость инфраструктуры.",/Не выявлено/,
Математические методы в информационных технологиях,Сетевой инженер,TCP/IP,"Набор протоколов связи, которые используются для передачи данных в сетях компьютеров, является основой для функционирования Интернета.",Сети и телекоммуникации,Изучение приложений алгебраической задачи о пути от маршрутизации в мобильных сетях и BGP основного протокола динамической маршрутизации в сети Интернет
Математические методы в информационных технологиях,Сетевой инженер,Cisco,Навыки работы с сетевым оборудованием производителя Cisco,/Не выявлено/,
Математические методы в информационных технологиях,Сетевой инженер,Администрирование сетевого оборудования,"Администрирование сетевого оборудования включает в себя управление и обслуживание сетевого оборудования (как физического, так и виртуального), включая маршрутизаторы, коммутаторы, межсетевые экраны, прокси-серверы и другие сетевые устройства.",/Не выявлено/,
Математические методы в информационных технологиях,Сетевой инженер,TCP/IP,"Набор протоколов связи, которые используются для передачи данных в сетях компьютеров, является основой для функционирования Интернета.",Сети и телекоммуникации,Изучение приложений алгебраической задачи о пути от маршрутизации в мобильных сетях и BGP основного протокола динамической маршрутизации в сети Интернет
Математические методы в информационных технологиях,Сетевой инженер,Cisco,Навыки работы с сетевым оборудованием производителя Cisco,/Не выявлено/,
Математические методы в информационных технологиях,Сетевой инженер,Администрирование сетевого оборудования,"Администрирование сетевого оборудования включает в себя управление и обслуживание сетевого оборудования (как физического, так и виртуального), включая маршрутизаторы, коммутаторы, межсетевые экраны, прокси-серверы и другие сетевые устройства.",/Не выявлено/,
Компьютерное моделирование и проектирование,Data Scientist,Python,Язык программирования,/Не выявлено/,
Компьютерное моделирование и проектирование,Data Scientist,SQL,Язык программирования,Базы данных,Изучаются основы языка SQL.
Компьютерное моделирование и проектирование,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Интеллектуальные системы,Изучаются подходы к обучению интеллектуальных агентов.
Компьютерное моделирование и проектирование,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Основы искусственного интеллекта,"Изучение основ искусственных нейронных сетей и эволюционных вычислений. Изучаются особенности реализации генетического алгоритма, оптимизации роем частиц и муравьиного алгоритма."
Компьютерное моделирование и проектирование,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Математическая логика и теория алгоритмов,Моделирование НМТ (нейронной машинной трансляции) с помощью ДМТ (дифференциальной машинной трансляции).
Компьютерное моделирование и проектирование,Data Scientist,Pandas,Библиотека Python,/Не выявлено/,
Компьютерное моделирование и проектирование,Data Scientist,Numpy,Библиотека Python,/Не выявлено/,
Компьютерное моделирование и проектирование,Data Scientist,Spark,"Распределенная вычислительная система, предназначенная для обработки больших объемов данных",/Не выявлено/,
Компьютерное моделирование и проектирование,Data Scientist,Python,Язык программирования,/Не выявлено/,
Компьютерное моделирование и проектирование,Data Scientist,SQL,Язык программирования,Базы данных,Изучаются основы языка SQL.
Компьютерное моделирование и проектирование,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Интеллектуальные системы,Изучаются подходы к обучению интеллектуальных агентов.
Компьютерное моделирование и проектирование,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Основы искусственного интеллекта,"Изучение основ искусственных нейронных сетей и эволюционных вычислений. Изучаются особенности реализации генетического алгоритма, оптимизации роем частиц и муравьиного алгоритма."
Компьютерное моделирование и проектирование,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Математическая логика и теория алгоритмов,Моделирование НМТ (нейронной машинной трансляции) с помощью ДМТ (дифференциальной машинной трансляции).
Компьютерное моделирование и проектирование,Data Scientist,Pandas,Библиотека Python,/Не выявлено/,
Компьютерное моделирование и проектирование,Data Scientist,Numpy,Библиотека Python,/Не выявлено/,
Компьютерное моделирование и проектирование,Data Scientist,Spark,"Распределенная вычислительная система, предназначенная для обработки больших объемов данных",/Не выявлено/,
Компьютерное моделирование и проектирование,BI-аналитик,SQL,Язык программирования,Базы данных,Изучаются основы языка SQL
Компьютерное моделирование и проектирование,BI-аналитик,MS Excel,"Навыки работы с программой Excel для анализа данных, создания отчетов, калькуляций и визуализации информации",/Не выявлено/,
Компьютерное моделирование и проектирование,BI-аналитик,Python,Язык программирования,/Не выявлено/,
Компьютерное моделирование и проектирование,BI-аналитик,Power BI,"Бизнес-аналитический инструмент, который позволяет собирать, анализировать и визуализировать данные в удобной форме для принятия бизнес-решений",/Не выявлено/,
Компьютерное моделирование и проектирование,BI-аналитик,Big Data,Работа с большими данными,/Не выявлено/,
Компьютерное моделирование и проектирование,BI-аналитик,Анализ данных,"Навыки работы с большими объемами данных, а также умение применять статистические методы и инструменты для извлечения значимой информации из этих данных",/Не выявлено/,
Компьютерное моделирование и проектирование,BI-аналитик,SQL,Язык программирования,Базы данных,Изучаются основы языка SQL
Компьютерное моделирование и проектирование,BI-аналитик,MS Excel,"Навыки работы с программой Excel для анализа данных, создания отчетов, калькуляций и визуализации информации",/Не выявлено/,
